Time;R9;R14;R19
2017-05-10 11:24;0;0;0
2017-05-10 11:34;0.108892;-0.034912;-0.393771
2017-05-10 11:44;0.001512;0.099718;-0.495635
2017-05-10 11:54;-0.067608;-0.040325;-0.422379
2017-05-10 12:04;0.010169;0.059663;-0.654987
2017-05-10 12:14;-0.291214;-0.133021;-0.515359
2017-05-10 12:24;-0.100588;-0.219178;-0.670835
2017-05-10 12:34;-0.151748;-0.05653;-0.683238
2017-05-10 12:44;-0.437717;-0.072622;-0.784707
2017-05-10 12:53;-0.317107;0.016462;-0.779534
2017-05-10 13:03;-0.290809;0.080311;-0.670176
2017-05-10 13:13;-0.183782;-0.077562;-0.47993
2017-05-10 13:23;-0.223546;-0.187394;-0.59021
2017-05-10 13:33;-0.111742;-0.11301;-0.4697
2017-05-10 13:43;-0.203932;-0.269977;-0.695235
2017-05-10 14:28;-0.060966;-0.076147;-0.724668
2017-05-10 14:38;-0.059616;-0.190938;-0.66526
2017-05-10 14:48;-0.014773;-0.068434;-0.540396
2017-05-10 14:58;-0.127561;-0.012613;-0.593319
2017-05-10 15:07;-0.185312;0.057839;-0.677575
2017-05-10 15:17;-0.092717;-0.019688;-0.562298
2017-05-10 15:27;-0.087334;-0.120643;-0.633702
2017-05-10 15:37;-0.076473;0.007804;-0.512837
2017-05-10 15:47;-0.252811;-0.093009;-0.492076
2017-05-10 15:57;-0.135281;0.068819;-0.450358
2017-05-10 16:07;-0.269493;-0.057594;-0.522043
2017-05-10 16:17;-0.217066;-0.013499;-0.458502
2017-05-10 16:27;-0.1935;-0.209264;-0.480438
2017-05-10 16:37;-0.098477;0.001269;-0.545387
2017-05-10 16:47;-0.129151;-0.024465;-0.40614
2017-05-10 16:57;-0.23753;-0.167391;-0.371233
2017-05-10 17:07;-0.029722;0.119999;-0.363133
2017-05-10 17:17;0.027374;0.261992;-0.27058
2017-05-10 17:27;-0.194948;0.015588;-0.468174
2017-05-10 17:37;-0.104966;0.051209;-0.394619
2017-05-10 17:47;-0.157797;-0.076516;-0.433362
2017-05-10 17:56;-0.07053;-0.113373;-0.408565
2017-05-10 18:06;-0.187116;-0.262151;-0.576668
2017-05-10 18:16;-0.179753;-0.067217;-0.487942
2017-05-10 18:26;-0.233877;-0.268392;-0.558947
2017-05-10 18:36;-0.124144;-0.131243;-0.557347
2017-05-10 18:46;0.026345;0.032474;-0.418154
2017-05-10 18:56;-0.071363;-0.066323;-0.399821
2017-05-10 19:06;0.080147;-0.032175;-0.444705
2017-05-10 19:16;0.066853;-0.032434;-0.451092
2017-05-10 19:26;0.131336;0.088448;-0.430023
2017-05-10 19:36;0.180516;0.107735;-0.322953
2017-05-10 19:46;0.259094;0.132255;-0.240518
2017-05-10 19:56;0.50896;0.361438;0.042447
2017-05-10 20:06;0.690437;0.55909;0.17184
2017-05-10 20:16;0.480258;0.340616;0.082117
2017-05-10 20:26;0.647871;0.470062;0.226845
2017-05-10 20:36;0.823997;0.665265;0.537226
2017-05-10 20:45;0.746978;0.602959;0.486906
2017-05-10 20:55;0.721111;0.71107;0.560615
2017-05-10 21:05;0.751618;0.699132;0.644625
2017-05-10 21:15;0.702043;0.62428;0.543751
2017-05-10 21:25;0.660715;0.654291;0.554544
2017-05-10 21:35;0.750089;0.646697;0.514004
2017-05-10 21:45;0.837457;0.793852;0.73206
2017-05-10 21:55;0.965283;0.928392;0.84682
2017-05-10 22:05;0.905713;0.845685;0.74029
2017-05-10 22:15;0.757707;0.740765;0.633727
2017-05-10 22:25;0.793015;0.772962;0.681766
2017-05-10 22:35;0.972565;0.931918;0.906498
2017-05-10 22:45;0.94563;0.922259;0.887762
2017-05-10 22:55;1.071227;0.999571;0.974483
2017-05-10 23:05;1.008744;0.960854;0.943054
2017-05-10 23:15;0.877082;0.852806;0.815483
2017-05-10 23:25;0.911006;0.885126;0.792497
2017-05-10 23:35;1.133398;1.012739;0.996211
2017-05-10 23:45;1.031603;0.94107;0.897076
2017-05-10 23:55;0.935903;0.871416;0.854472
2017-05-11 00:04;0.961273;0.885952;0.866493
2017-05-11 00:14;1.060624;0.981159;0.970137
2017-05-11 00:24;1.062887;0.971708;0.935193
2017-05-11 00:34;1.018491;0.920177;0.885794
2017-05-11 00:44;1.026142;0.889818;0.853245
2017-05-11 00:54;0.972423;0.905551;0.862052
2017-05-11 01:04;0.95383;0.86222;0.792612
2017-05-11 01:14;0.975419;0.874604;0.766608
2017-05-11 01:24;0.947225;0.896915;0.755762
2017-05-11 01:34;0.942434;0.88812;0.819981
2017-05-11 01:44;0.944993;0.861617;0.828237
2017-05-11 01:54;0.932065;0.847901;0.800509
2017-05-11 02:04;0.904382;0.842894;0.788972
2017-05-11 02:14;0.883581;0.814698;0.776786
2017-05-11 02:24;0.876765;0.794231;0.746688
2017-05-11 02:34;0.868345;0.77754;0.772127
2017-05-11 02:44;0.848322;0.779237;0.811886
2017-05-11 02:54;0.88198;0.803506;0.839681
2017-05-11 03:04;0.913922;0.796296;0.836536
2017-05-11 03:14;0.897458;0.812614;0.891764
2017-05-11 03:23;0.928772;0.812893;0.855054
2017-05-11 03:33;0.97701;0.830957;0.81441
2017-05-11 03:43;0.922224;0.832111;0.865901
2017-05-11 03:53;0.953804;0.81948;0.810323
2017-05-11 04:03;0.890872;0.805763;0.849748
2017-05-11 04:14;0.854602;0.78312;0.791739
2017-05-11 04:24;0.945665;0.844538;0.775466
2017-05-11 04:34;0.948677;0.839798;0.778646
2017-05-11 04:44;0.935896;0.876205;0.808203
2017-05-11 04:54;1.000088;0.889122;0.776937
2017-05-11 05:04;0.973572;0.902194;0.777285
2017-05-11 05:14;1.058359;1.004991;0.902693
2017-05-11 05:24;1.070574;1.031918;0.851021
2017-05-11 05:34;1.080269;1.027566;0.824639
2017-05-11 05:44;1.07544;1.021062;0.821488
2017-05-11 05:54;1.054283;0.980223;0.816521
2017-05-11 06:04;1.059063;0.987626;0.832266
2017-05-11 06:13;1.072479;1.052527;0.87116
2017-05-11 06:23;1.070477;1.055065;0.951545
2017-05-11 06:33;1.080774;1.043554;1.012933
2017-05-11 06:43;1.076422;0.991031;0.930812
2017-05-11 06:53;1.085659;0.971377;0.838621
2017-05-11 07:03;1.079469;1.067059;0.867794
2017-05-11 07:13;1.144235;1.158254;0.960292
2017-05-11 07:23;1.131305;1.122024;0.988204
2017-05-11 07:33;1.152492;1.211553;1.014867
2017-05-11 07:43;0.84562;0.962157;0.721427
2017-05-11 07:53;0.812103;0.86048;0.644942
2017-05-11 08:03;0.794164;0.889513;0.507207
2017-05-11 08:13;0.660638;0.794314;0.376651
2017-05-11 08:23;0.598484;0.71739;0.299833
2017-05-11 08:32;0.566585;0.635397;0.253214
2017-05-11 08:42;0.61503;0.67438;0.348095
2017-05-11 08:52;0.74926;0.7762;0.376048
2017-05-11 09:02;0.678669;0.742661;0.447324
2017-05-11 09:12;0.728415;0.727828;0.47663
2017-05-11 09:22;0.801193;0.697963;0.38131
2017-05-11 09:32;0.764367;0.672278;0.35844
2017-05-11 09:42;0.85124;0.746838;0.381492
2017-05-11 09:52;0.676194;0.449399;0.368004
2017-05-11 10:02;0.705795;0.42598;0.360009
2017-05-11 10:12;0.728594;0.477049;0.447318
2017-05-11 10:22;0.832377;0.618157;0.634996
2017-05-11 10:32;0.599382;0.241147;0.606259
2017-05-11 10:42;0.668873;0.356517;0.508037
2017-05-11 10:52;0.681966;0.371298;0.341074
2017-05-11 11:01;0.793731;0.494858;0.596453
2017-05-11 11:11;0.5103;0.050395;0.167807
2017-05-11 11:21;0.533533;0.296388;0.188314
2017-05-11 11:31;0.51913;0.08698;0.131034
2017-05-11 11:41;0.435099;0.161042;0.129481
2017-05-11 11:51;0.240733;0.029472;0.172407
2017-05-11 12:01;0.582693;0.214267;0.178518
2017-05-11 12:11;0.249199;0.154571;-0.005796
2017-05-11 12:21;0.602673;0.236688;-0.122289
2017-05-11 12:31;0.238453;0.450864;-0.142951
2017-05-11 12:41;0.528368;0.52345;0.126357
2017-05-11 12:51;0.169661;0.033619;-0.187453
2017-05-11 13:01;0.229338;-0.017988;-0.004589
2017-05-11 13:11;-0.086162;0.055475;-0.295409
2017-05-11 13:21;0.19295;0.165056;0.064977
