Time_t;theoretical;Time_o;observed
2017-05-09 22:00;0;2017-05-10 15:17;-0.019688
2017-05-09 22:15;-0.0299410767706405;2017-05-10 15:27;-0.120643
2017-05-09 22:30;-0.00278162094388534;2017-05-10 15:37;0.007804
2017-05-09 22:45;0.0592880341039148;2017-05-10 15:47;-0.093009
2017-05-09 23:00;0.0360594953472102;2017-05-10 15:57;0.068819
2017-05-09 23:15;0.0827112932167964;2017-05-10 16:07;-0.057594
2017-05-09 23:30;0.00662720650436199;2017-05-10 16:17;-0.013499
2017-05-09 23:45;-0.0135844820816899;2017-05-10 16:27;-0.209264
2017-05-10 00:00;-0.0798570520949085;2017-05-10 16:37;0.001269
2017-05-10 00:15;-0.134763131931869;2017-05-10 16:47;-0.024465
2017-05-10 00:30;-0.128113608573067;2017-05-10 16:57;-0.167391
2017-05-10 00:45;-0.11591336228431;2017-05-10 17:07;0.119999
2017-05-10 01:00;-0.146116300323115;2017-05-10 17:17;0.261992
2017-05-10 01:15;-0.168894302428185;2017-05-10 17:27;0.015588
2017-05-10 01:30;-0.20347002031604;2017-05-10 17:37;0.051209
2017-05-10 01:45;-0.201842030512807;2017-05-10 17:47;-0.076516
2017-05-10 02:00;-0.176960966103337;2017-05-10 17:56;-0.113373
2017-05-10 02:15;-0.194432733432606;2017-05-10 18:06;-0.262151
2017-05-10 02:30;-0.190977687539366;2017-05-10 18:16;-0.067217
2017-05-10 02:45;-0.225100883742321;2017-05-10 18:26;-0.268392
2017-05-10 03:00;-0.22484411909408;2017-05-10 18:36;-0.131243
2017-05-10 03:15;-0.263200845330985;2017-05-10 18:46;0.032474
2017-05-10 03:30;-0.26509867588608;2017-05-10 18:56;-0.066323
2017-05-10 03:45;-0.181674060728483;2017-05-10 19:06;-0.032175
2017-05-10 04:00;-0.14526163454719;2017-05-10 19:16;-0.032434
2017-05-10 04:15;-0.129111724025378;2017-05-10 19:26;0.088448
2017-05-10 04:30;-0.16003716244726;2017-05-10 19:36;0.107735
